札番号,単語数,総文字数,単語リスト
23,19,46,つき/月見/月見れ/れば/見れば/みれ/みれば/ちぢ/ちぢに/こそ/のこそ/にも/のこ/ぢにも/悲し/悲しけ/けれ/しけれ/かな
24,19,45,この/このた/びは/たびは/たび/ぬさ/ぬさも/へず/あへず/もと/りあ/さもと/手向/手向山/向山/たむ/けや/けやま/やま
25,19,46,なにし/名に/名にし/はば/負はば/なに/しお/おはば/逢坂/逢坂山/山の/坂山の/あふ/さか/やま/やまの/ふさか/まの/さね
26,19,44,をぐ/おぐ/小倉/小倉山/倉山/らや/らやま/やま/峰の/峰のも/ぢ葉/みぢ葉/みね/のも/みぢ/みぢば/ねのも/ぢば/心あ
27,19,46,みかの/みか/の原/かの原/のは/のはら/はら/わき/わきて/るる/流るる/てな/がる/がるる/きてな/泉川/いづ/みが/みがは
28,19,46,やまざ/山里/山里は/里は/やま/ざと/ざとは/とは/冬ぞ/冬ぞ寂/しさ/寂しさ/ふゆ/ぞさ/びし/びしさ/ゆぞさ/まさ/まさり
29,19,47,こころあ/心あ/心あて/てに/あてに/ここ/ろあ/折ら/折らば/らむ/折らむ/をら/ばや/をらむ/らばや/初霜/初霜の/霜の/はつ
30,19,46,ありあ/有明/有明の/明の/あり/あけ/あけの/けの/つれ/つれな/えし/見えし/なく/みえ/みえし/れなく/別れ/別れよ/より
31,19,49,あさぼらけあ/朝ぼ/朝ぼら/らけ/ぼらけ/あさ/ぼら/有明/有明の/月と/の月と/あり/あけ/のつ/つきと/りあけ/きと/見る/見るま
32,19,45,やまが/山川/山川に/川に/やま/がは/がはに/はに/風の/風のか/たる/けたる/かぜ/のか/けた/ぜのか/しが/しがら/みは
33,19,45,ひさ/ひさか/たの/かたの/かた/光の/光のど/けき/どけき/ひか/りの/どけ/かりの/春の/春の日/日に/の日に/はる/のひ
34,19,44,たれ/誰を/誰をか/かも/をかも/をか/知る/知る人/せむ/にせむ/しる/ひと/にせ/るひと/高砂/高砂の/砂の/たか/さご
35,19,46,ひとは/人は/人はい/いさ/はいさ/ひと/はい/心も/心も知/らず/知らず/ここ/ろも/しら/しらず/ころも/ふる/ふるさ/とは
36,19,46,なつ/夏の/夏の夜/夜は/の夜は/のよ/のよは/よは/まだ/まだ宵/がら/ながら/よひ/なが/だよひ/明け/明けぬ/るを/ぬるを
37,19,45,しら/白露/白露に/露に/つゆ/つゆに/ゆに/風の/風の吹/しく/きしく/かぜ/のふ/きし/ぜのふ/秋の/秋の野/野は/の野は
38,19,46,わすら/忘ら/忘らる/るる/らるる/わす/らる/身を/身をば/はず/思はず/みを/ばお/もは/もはず/をばお/誓ひ/誓ひて/てし
39,19,47,あさぢ/あさじ/浅茅/浅茅生/生の/茅生の/あさ/ぢふ/ぢふの/ふの/小野/小野の/篠原/の篠原/をの/のし/のは/のはら/ののし
40,19,46,しの/しのぶ/れど/ぶれど/ぶれ/色に/色に出/けり/にけり/いろ/にい/でに/ろにい/わが/わが恋/恋は/が恋は/こひ/こひは
41,19,45,こひ/こい/恋す/恋すて/てふ/すてふ/すて/わが/わが名/だき/まだき/なは/まだ/がなは/立ち/立ちに/けり/にけり/たち
42,19,47,ちぎりき/契り/契りき/きな/りきな/ちぎ/りき/かた/かたみ/袖を/に袖を/みに/そで/そでを/たみに/でを/しぼ/しぼり/つつ
43,19,46,あひ/あい/逢ひ/逢ひ見/ての/見ての/みて/みての/のち/のちの/心に/の心に/のこ/ころ/ころに/ちのこ/ろに/くら/くらぶ
44,19,46,あふこ/おおこ/逢ふ/逢ふこ/との/ことの/あふ/こと/絶え/絶えて/くは/なくは/たえ/てし/なく/えてし/なか/なかな/かに
45,19,47,あはれ/あわれ/あは/とも/れとも/れと/いふ/いふべ/人は/き人は/べき/ひと/ひとは/ふべき/とは/思ほ/思ほえ/えで/ほえで
46,19,45,ゆら/由良/由良の/門を/の門を/のと/のとを/とを/渡る/渡る舟/舟人/る舟人/わた/るふ/なび/なびと/たるふ/びと/かぢ
47,19,45,やへ/やえ/八重/八重む/ぐら/むぐら/むぐ/しげ/しげれ/宿の/る宿の/れる/やど/やどの/げれる/どの/さび/さびし/きに
48,19,46,かぜを/風を/風をい/たみ/いたみ/かぜ/をい/岩う/岩うつ/波の/つ波の/いは/うつ/なみ/なみの/はうつ/みの/おの/おのれ
49,19,45,みかき/御垣/御垣守/垣守/みか/きも/きもり/もり/衛士/衛士の/火の/く火の/ゑじ/のた/くひ/くひの/じのた/ひの/夜は
50,19,48,きみがためを/君が/君がた/ため/がため/きみ/がた/惜し/惜しか/りし/ざりし/をし/から/ざり/しから/命さ/命さへ/さへ/いの
51,19,46,かく/かくと/だに/とだに/とだ/えや/えやは/吹の/伊吹の/はい/ぶき/ぶきの/やはい/きの/さし/さしも/も草/しも草/もぐ
52,19,45,あけ/明け/明けぬ/れば/ぬれば/ぬれ/暮る/暮るる/とは/のとは/くる/るも/のと/るるも/知り/知りな/がら/ながら/しり
53,19,46,なげき/嘆き/嘆きつ/つつ/きつつ/なげ/きつ/ひと/ひとり/夜の/る夜の/りね/るよ/るよの/とりね/よの/明く/明くる/間は
54,19,46,わすれ/忘れ/忘れじ/じの/れじの/わす/れじ/ゆく/ゆく末/では/までは/すゑ/まで/くすゑ/かた/かたけ/れば/ければ/けれ
55,19,46,たき/滝の/滝の音/音は/の音は/のお/おとは/とは/絶え/絶えて/しく/久しく/たえ/てひ/さし/さしく/えてひ/なり/なりぬ
56,19,46,あらざ/あら/らむ/ざらむ/ざら/この/この世/かの/ほかの/よの/ほか/のよの/思ひ/思ひ出/出に/ひ出に/おも/ひで/ひでに
57,19,45,め/めぐ/めぐり/ひて/逢ひて/りあ/あひて/見し/見しや/とも/れとも/みし/やそ/れと/しやそ/わか/わかぬ/間に/ぬ間に
58,19,45,ありま/有馬/有馬山/馬山/あり/まや/まやま/やま/猪名/猪名の/笹原/の笹原/ゐな/のさ/さは/さはら/なのさ/はら/風吹
59,19,45,やす/やすら/はで/らはで/らは/寝な/寝なま/のを/ものを/ねな/まし/もの/なまし/さ夜/さ夜更/けて/更けて/さよ/ふけ
60,19,46,おほえ/おおえ/大江/大江山/江山/おほ/えや/えやま/やま/いく/いく野/道の/の道の/のの/みち/みちの/くのの/ちの/遠け
61,19,45,いに/いにし/への/しへの/しへ/奈良/奈良の/都の/の都の/なら/のみ/やこ/やこの/らのみ/この/八重/八重桜/重桜/やへ
62,19,45,よを/よお/夜を/夜をこ/めて/こめて/こめ/鳥の/鳥の空/音は/空音は/とり/のそ/らね/らねは/りのそ/ねは/謀る/謀ると
63,19,46,いまは/今は/今はた/ただ/はただ/いま/はた/思ひ/思ひ絶/なむ/えなむ/おも/ひた/えな/もひた/とば/とばか/りを/かりを
64,19,49,あさぼらけう/朝ぼ/朝ぼら/らけ/ぼらけ/あさ/ぼら/宇治/宇治の/川霧/の川霧/うぢ/のか/はぎ/はぎり/ぢのか/ぎり/たえ/たえだ
65,19,46,うら/恨み/恨みわ/わび/みわび/みわ/ほさ/ほさぬ/だに/袖だに/ぬそ/でだ/でだに/さぬそ/ある/あるも/のを/ものを/もの
66,19,45,もろ/もろと/もに/ともに/とも/あは/あはれ/思へ/と思へ/れと/おも/おもへ/はれと/もへ/山桜/やま/ざく/ざくら/くら
67,19,46,はるの/春の/春の夜/夜の/の夜の/はる/のよ/のよの/よの/夢ば/夢ばか/なる/りなる/ゆめ/ばか/りな/めばか/手枕/手枕に
68,19,47,こころに/心に/心にも/にも/ここ/ろに/ろにも/あら/あらで/夜に/き夜に/でう/きよ/きよに/らでう/よに/長ら/長らへ/へば
69,19,45,あらし/嵐吹/嵐吹く/吹く/あら/しふ/しふく/ふく/三室/三室の/山の/の山の/みむ/ろの/やま/やまの/むろの/まの/もみ
70,19,44,さ/寂し/寂しさ/さに/しさに/さび/しさ/宿を/宿を立/でて/出でて/やど/をた/ちい/いでて/どをた/なが/ながむ/れば
71,19,45,ゆふ/ゆう/夕さ/夕され/れば/されば/され/門田/門田の/稲葉/の稲葉/かど/たの/いな/いなば/どたの/なば/訪れ/訪れて
72,19,45,おと/音に/音に聞/聞く/に聞く/にき/にきく/きく/高師/高師の/浜の/の浜の/たか/しの/はま/はまの/かしの/まの/あだ
73,19,45,たか/高砂/高砂の/砂の/さご/さごの/ごの/尾の/尾の上/の桜/上の桜/をの/への/さく/さくら/のへの/くら/咲き/咲きに
74,19,45,うか/憂か/憂かり/ける/りける/りけ/人を/人を初/瀬の/初瀬の/ひと/をは/つせ/つせの/とをは/せの/山お/山おろ/しよ
75,19,47,ちぎりお/契り/契りお/きし/おきし/ちぎ/りお/させ/させも/露を/が露を/もが/つゆ/つゆを/せもが/ゆを/命に/命にて/にて
76,19,50,わたのはらこ/わた/わたの/の原/たの原/のは/のはら/はら/漕ぎ/漕ぎ出/れば/見れば/こぎ/いで/てみ/みれば/ぎいで/ひさ/ひさか
77,19,43,せ/瀬を/瀬をは/やみ/はやみ/せを/はや/岩に/岩にせ/るる/かるる/いは/にせ/かる/はにせ/滝川/滝川の/川の/たき
78,19,46,あはぢ/あわじ/淡路/淡路島/路島/あは/ぢし/ぢしま/しま/通ふ/通ふ千/鳥の/千鳥の/かよ/ふち/どり/どりの/よふち/りの
79,19,46,あきか/秋風/秋風に/風に/あき/かぜ/かぜに/ぜに/たな/たなび/雲の/く雲の/びく/くも/くもの/なびく/もの/絶え/絶え間
80,19,46,ながか/長か/長から/らむ/からむ/なが/から/心も/心も知/らず/知らず/ここ/ろも/しら/しらず/ころも/黒髪/黒髪の/髪の
81,19,44,ほ/ほと/ほとと/ぎす/とぎす/とぎ/鳴き/鳴きつ/方を/る方を/なき/つる/かた/かたを/きつる/たを/なが/ながむ/れば
82,19,47,おもひ/おもい/思ひ/思ひわ/わび/ひわび/おも/ひわ/さて/さても/命は/も命は/もい/のち/のちは/てもい/ちは/ある/あるも
83,19,48,よのなかよ/世の/世の中/中よ/の中よ/よの/なか/なかよ/かよ/道こ/道こそ/けれ/なけれ/みち/こそ/なけ/ちこそ/思ひ/思ひ入
84,19,46,ながら/長ら/長らへ/へば/らへば/なが/らへ/また/またこ/ろや/ごろや/この/ごろ/たこの/しの/しのば/れむ/ばれむ/ばれ
85,19,45,よも/夜も/夜もす/がら/すがら/すが/物思/物思ふ/ろは/ころは/もの/おも/ふこ/のおも/明け/明けや/らで/やらで/あけ
86,19,46,なげけ/嘆け/嘆けと/とて/けとて/なげ/けと/月や/月やは/物を/は物を/つき/やは/もの/ものを/きやは/のを/思は/思はす
87,19,43,む/村雨/村雨の/雨の/むら/さめ/さめの/めの/露も/露もま/干ぬ/だ干ぬ/つゆ/もま/だひ/だひぬ/ゆもま/ひぬ/真木
88,19,47,なにはえ/難波/難波江/江の/波江の/なに/はえ/はえの/えの/蘆の/蘆のか/ねの/りねの/あし/のか/りね/しのか/ひと/ひとよ
89,19,46,たま/玉の/玉の緒/緒よ/の緒よ/のを/のをよ/をよ/絶え/絶えな/えね/絶えね/たえ/なば/たえね/えなば/なが/ながら/へば
90,19,46,みせ/見せ/見せば/やな/ばやな/ばや/雄島/雄島の/人の/海人の/をじ/まの/あま/あまの/じまの/袖だ/袖だに/にも/だにも
91,19,46,きり/きりぎ/りす/ぎりす/ぎり/鳴く/鳴くや/夜の/霜夜の/なく/やし/もよ/もよの/くやし/よの/さむ/さむし/ろに/しろに
92,19,47,わがそ/わが/わが袖/袖は/が袖は/そで/そでは/では/潮干/潮干に/えぬ/見えぬ/しほ/ひに/みえ/みえぬ/ほひに/沖の/沖の石
93,19,48,よのなかは/世の/世の中/中は/の中は/よの/なか/なかは/かは/常に/常にも/もな/がもな/つね/にも/がも/ねにも/渚漕/渚漕ぐ
94,19,45,みよ/み吉/み吉野/野の/吉野の/しの/しのの/のの/山の/山の秋/秋風/の秋風/やま/のあ/きか/きかぜ/まのあ/かぜ/さよ
95,19,47,おほけ/おおけ/おほ/なく/けなく/けな/憂き/憂き世/民に/の民に/うき/よの/たみ/たみに/きよの/みに/おほふ/かな/ふかな
96,19,46,はなさ/花さ/花さそ/そふ/さそふ/はな/さそ/嵐の/嵐の庭/庭の/の庭の/あら/しの/には/にはの/らしの/はの/雪な/雪なら
97,19,45,こぬ/来ぬ/来ぬ人/人を/ぬ人を/ひと/ひとを/とを/松帆/松帆の/浦の/の浦の/まつ/ほの/うら/うらの/つほの/らの/夕な
98,19,46,かぜそ/風そ/風そよ/よぐ/そよぐ/かぜ/そよ/楢の/楢の小/川の/小川の/なら/のを/がは/がはの/らのを/はの/夕暮/夕暮は
99,19,47,ひとも/人も/人も惜/惜し/も惜し/ひと/もを/もをし/をし/人も恨/めし/恨めし/もう/らめ/らめし/ともう/あぢ/あぢき/なく
100,19,45,もも/百敷/百敷や/敷や/しき/しきや/きや/古き/古き軒/端の/軒端の/ふる/きの/きば/きばの/るきの/ばの/しの/しのぶ
0,19,46,なにわづ/難波/難波津/の花/この花/なに/わづ/わづに/づに/冬ご/冬ごも/さく/やこ/のは/のはな/くやこ/はな/ふゆ/ごも
